G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM
20190323HHOB0,20190323,HH,OB,0,토,잠실
20190323KTSK0,20190323,KT,SK,0,토,문학
20190323LGHT0,20190323,LG,HT,0,토,광주
20190323SSNC0,20190323,SS,NC,0,토,창원
20190323WOLT0,20190323,WO,LT,0,토,사직
20190324HHOB0,20190324,HH,OB,0,일,잠실
20190324KTSK0,20190324,KT,SK,0,일,문학
20190324LGHT0,20190324,LG,HT,0,일,광주
20190324SSNC0,20190324,SS,NC,0,일,창원
20190324WOLT0,20190324,WO,LT,0,일,사직
20190326HHHT0,20190326,HH,HT,0,화,광주
20190326KTNC0,20190326,KT,NC,0,화,창원
20190326LGSK0,20190326,LG,SK,0,화,문학
20190326SSLT0,20190326,SS,LT,0,화,사직
20190326WOOB0,20190326,WO,OB,0,화,잠실
20190327HHHT0,20190327,HH,HT,0,수,광주
20190327KTNC0,20190327,KT,NC,0,수,창원
20190327LGSK0,20190327,LG,SK,0,수,문학
20190327SSLT0,20190327,SS,LT,0,수,사직
20190327WOOB0,20190327,WO,OB,0,수,잠실
20190328HHHT0,20190328,HH,HT,0,목,광주
20190328KTNC0,20190328,KT,NC,0,목,창원
20190328LGSK0,20190328,LG,SK,0,목,문학
20190328SSLT0,20190328,SS,LT,0,목,사직
20190328WOOB0,20190328,WO,OB,0,목,잠실
20190329HTKT0,20190329,HT,KT,0,금,수원
20190329LTLG0,20190329,LT,LG,0,금,잠실
20190329NCHH0,20190329,NC,HH,0,금,대전
20190329OBSS0,20190329,OB,SS,0,금,대구
20190329SKWO0,20190329,SK,WO,0,금,고척
20190330HTKT0,20190330,HT,KT,0,토,수원
20190330LTLG0,20190330,LT,LG,0,토,잠실
20190330NCHH0,20190330,NC,HH,0,토,대전
20190330OBSS0,20190330,OB,SS,0,토,대구
20190330SKWO0,20190330,SK,WO,0,토,고척
20190331HTKT0,20190331,HT,KT,0,일,수원
20190331LTLG0,20190331,LT,LG,0,일,잠실
20190331NCHH0,20190331,NC,HH,0,일,대전
20190331OBSS0,20190331,OB,SS,0,일,대구
20190331SKWO0,20190331,SK,WO,0,일,고척
20190402HTSS0,20190402,HT,SS,0,화,대구
20190402KTOB0,20190402,KT,OB,0,화,잠실
20190402LGHH0,20190402,LG,HH,0,화,대전
20190402LTSK0,20190402,LT,SK,0,화,문학
20190402WONC0,20190402,WO,NC,0,화,창원
20190403HTSS0,20190403,HT,SS,0,수,대구
20190403KTOB0,20190403,KT,OB,0,수,잠실
20190403LGHH0,20190403,LG,HH,0,수,대전
20190403LTSK0,20190403,LT,SK,0,수,문학
20190403WONC0,20190403,WO,NC,0,수,창원
20190404HTSS0,20190404,HT,SS,0,목,대구
20190404KTOB0,20190404,KT,OB,0,목,잠실
20190404LGHH0,20190404,LG,HH,0,목,대전
20190404LTSK0,20190404,LT,SK,0,목,문학
20190404WONC0,20190404,WO,NC,0,목,창원
20190405HHLT0,20190405,HH,LT,0,금,사직
20190405LGKT0,20190405,LG,KT,0,금,수원
20190405NCOB0,20190405,NC,OB,0,금,잠실
20190405SSSK0,20190405,SS,SK,0,금,문학
20190405WOHT0,20190405,WO,HT,0,금,광주
20190406HHLT0,20190406,HH,LT,0,토,사직
20190406LGKT0,20190406,LG,KT,0,토,수원
20190406NCOB0,20190406,NC,OB,0,토,잠실
20190406SSSK0,20190406,SS,SK,0,토,문학
20190406WOHT0,20190406,WO,HT,0,토,광주
20190407HHLT0,20190407,HH,LT,0,일,사직
20190407LGKT0,20190407,LG,KT,0,일,수원
20190407NCOB0,20190407,NC,OB,0,일,잠실
20190407SSSK0,20190407,SS,SK,0,일,문학
20190409KTWO0,20190409,KT,WO,0,화,고척
20190410KTWO0,20190410,KT,WO,0,수,고척
20190410NCHT0,20190410,NC,HT,0,수,광주
20190410OBLT0,20190410,OB,LT,0,수,사직
20190410SKHH0,20190410,SK,HH,0,수,대전
20190410SSLG0,20190410,SS,LG,0,수,잠실
20190411KTWO0,20190411,KT,WO,0,목,고척
20190411NCHT0,20190411,NC,HT,0,목,광주
20190411OBLT0,20190411,OB,LT,0,목,사직
20190411SKHH0,20190411,SK,HH,0,목,대전
20190411SSLG0,20190411,SS,LG,0,목,잠실
20190412HHWO0,20190412,HH,WO,0,금,고척
20190412HTSK0,20190412,HT,SK,0,금,문학
20190412KTSS0,20190412,KT,SS,0,금,대구
20190412LTNC0,20190412,LT,NC,0,금,창원
20190412OBLG0,20190412,OB,LG,0,금,잠실
20190413HHWO0,20190413,HH,WO,0,토,고척
20190413HTSK0,20190413,HT,SK,0,토,문학
20190413KTSS0,20190413,KT,SS,0,토,대구
20190413LTNC0,20190413,LT,NC,0,토,창원
20190413OBLG0,20190413,OB,LG,0,토,잠실
20190414HHWO0,20190414,HH,WO,0,일,고척
20190414HTSK0,20190414,HT,SK,0,일,문학
20190414KTSS0,20190414,KT,SS,0,일,대구
20190414LTNC0,20190414,LT,NC,0,일,창원
20190414OBLG0,20190414,OB,LG,0,일,잠실
20190416HHKT0,20190416,HH,KT,0,화,수원
20190416HTLT0,20190416,HT,LT,0,화,사직
20190416LGNC0,20190416,LG,NC,0,화,창원
20190416SKOB0,20190416,SK,OB,0,화,잠실
20190416WOSS0,20190416,WO,SS,0,화,포항
20190417HHKT0,20190417,HH,KT,0,수,수원
20190417HTLT0,20190417,HT,LT,0,수,사직
20190417LGNC0,20190417,LG,NC,0,수,창원
20190417SKOB0,20190417,SK,OB,0,수,잠실
20190417WOSS0,20190417,WO,SS,0,수,포항
20190418HHKT0,20190418,HH,KT,0,목,수원
20190418HTLT0,20190418,HT,LT,0,목,사직
20190418LGNC0,20190418,LG,NC,0,목,창원
20190418SKOB0,20190418,SK,OB,0,목,잠실
20190418WOSS0,20190418,WO,SS,0,목,포항
20190419KTLT0,20190419,KT,LT,0,금,사직
20190419NCSK0,20190419,NC,SK,0,금,문학
20190419OBHT0,20190419,OB,HT,0,금,광주
20190419SSHH0,20190419,SS,HH,0,금,대전
20190419WOLG0,20190419,WO,LG,0,금,잠실
20190420KTLT0,20190420,KT,LT,0,토,사직
20190420NCSK0,20190420,NC,SK,0,토,문학
20190420OBHT0,20190420,OB,HT,0,토,광주
20190420SSHH0,20190420,SS,HH,0,토,대전
20190420WOLG0,20190420,WO,LG,0,토,잠실
20190421KTLT0,20190421,KT,LT,0,일,사직
20190421NCSK0,20190421,NC,SK,0,일,문학
20190421OBHT0,20190421,OB,HT,0,일,광주
20190421SSHH0,20190421,SS,HH,0,일,대전
20190421WOLG0,20190421,WO,LG,0,일,잠실
20190423HTLG0,20190423,HT,LG,0,화,잠실
20190423NCKT0,20190423,NC,KT,0,화,수원
20190423OBWO0,20190423,OB,WO,0,화,고척
20190424HTLG0,20190424,HT,LG,0,수,잠실
20190424LTHH0,20190424,LT,HH,0,수,대전
20190424NCKT0,20190424,NC,KT,0,수,수원
20190424OBWO0,20190424,OB,WO,0,수,고척
20190424SKSS0,20190424,SK,SS,0,수,대구
20190425OBWO0,20190425,OB,WO,0,목,고척
