G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,BAT_ORDER_NO,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20200505HHSK0,20200505,HH,SK,0,T,61208,1,7,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20200505HHSK0,20200505,SK,HH,0,B,61353,1,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20200505HHSK0,20200505,HH,SK,0,T,62700,1,9,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.5,2,1
20200505HHSK0,20200505,SK,HH,0,B,62895,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20200505HHSK0,20200505,SK,HH,0,B,63450,1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20200505HHSK0,20200505,HH,SK,0,T,63700,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505HHSK0,20200505,SK,HH,0,B,63704,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505HHSK0,20200505,SK,HH,0,B,67872,1,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20200505HHSK0,20200505,HH,SK,0,T,68730,1,3,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20200505HHSK0,20200505,HH,SK,0,T,68743,1,2,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20200505HHSK0,20200505,SK,HH,0,B,69825,1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200505HHSK0,20200505,HH,SK,0,T,71752,1,6,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
20200505HHSK0,20200505,HH,SK,0,T,73136,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
20200505HHSK0,20200505,HH,SK,0,T,74163,1,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20200505HHSK0,20200505,SK,HH,0,B,74215,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
