G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM
20160401HHLG0,20160401,HH,LG,0,금,잠실
20160401HTNC0,20160401,HT,NC,0,금,마산
20160401KTSK0,20160401,KT,SK,0,금,문학
20160401LTWO0,20160401,LT,WO,0,금,고척
20160401OBSS0,20160401,OB,SS,0,금,대구
20160402HHLG0,20160402,HH,LG,0,토,잠실
20160402HTNC0,20160402,HT,NC,0,토,마산
20160402KTSK0,20160402,KT,SK,0,토,문학
20160402LTWO0,20160402,LT,WO,0,토,고척
20160402OBSS0,20160402,OB,SS,0,토,대구
20160403KTSK0,20160403,KT,SK,0,일,문학
20160403LTWO0,20160403,LT,WO,0,일,고척
20160405LGHT0,20160405,LG,HT,0,화,광주
20160405NCOB0,20160405,NC,OB,0,화,잠실
20160405SKLT0,20160405,SK,LT,0,화,사직
20160405SSKT0,20160405,SS,KT,0,화,수원
20160405WOHH0,20160405,WO,HH,0,화,대전
20160406NCOB0,20160406,NC,OB,0,수,잠실
20160406SKLT0,20160406,SK,LT,0,수,사직
20160406SSKT0,20160406,SS,KT,0,수,수원
20160406WOHH0,20160406,WO,HH,0,수,대전
20160407LGHT0,20160407,LG,HT,0,목,광주
20160407NCOB0,20160407,NC,OB,0,목,잠실
20160407SKLT0,20160407,SK,LT,0,목,사직
20160407SSKT0,20160407,SS,KT,0,목,수원
20160407WOHH0,20160407,WO,HH,0,목,대전
20160408HHNC0,20160408,HH,NC,0,금,마산
20160408HTKT0,20160408,HT,KT,0,금,수원
20160408LGSK0,20160408,LG,SK,0,금,문학
20160408SSLT0,20160408,SS,LT,0,금,사직
20160408WOOB0,20160408,WO,OB,0,금,잠실
20160409HHNC0,20160409,HH,NC,0,토,마산
20160409HTKT0,20160409,HT,KT,0,토,수원
20160409LGSK0,20160409,LG,SK,0,토,문학
20160409SSLT0,20160409,SS,LT,0,토,사직
20160409WOOB0,20160409,WO,OB,0,토,잠실
20160410HHNC0,20160410,HH,NC,0,일,마산
20160410HTKT0,20160410,HT,KT,0,일,수원
20160410LGSK0,20160410,LG,SK,0,일,문학
20160410SSLT0,20160410,SS,LT,0,일,사직
20160410WOOB0,20160410,WO,OB,0,일,잠실
20160412HTSK0,20160412,HT,SK,0,화,문학
20160412KTWO0,20160412,KT,WO,0,화,고척
20160412LTLG0,20160412,LT,LG,0,화,잠실
20160412NCSS0,20160412,NC,SS,0,화,대구
20160412OBHH0,20160412,OB,HH,0,화,대전
20160413HTSK0,20160413,HT,SK,0,수,문학
20160413KTWO0,20160413,KT,WO,0,수,고척
20160413LTLG0,20160413,LT,LG,0,수,잠실
