GDAY_DS,T_ID,P_ID,ENTRY_YN
20160401,HH,60404,Y
20160401,HH,60667,Y
20160401,HH,60757,Y
20160401,HH,60764,N
20160401,HH,60768,N
20160401,HH,60805,Y
20160401,HH,61767,N
20160401,HH,61700,N
20160401,HH,62700,Y
20160401,HH,62768,N
20160401,HH,62770,N
20160401,HH,62797,N
20160401,HH,62611,N
20160401,HH,63791,N
20160401,HH,63700,N
20160401,HH,64086,Y
20160401,HH,64706,N
20160401,HH,65707,N
20160401,HH,65742,N
20160401,HH,65764,Y
20160401,HH,65769,N
20160401,HH,66702,N
20160401,HH,66705,N
20160401,HH,66710,N
20160401,HH,66740,Y
20160401,HH,66741,Y
20160401,HH,66748,Y
20160401,HH,70425,N
20160401,HH,71260,Y
20160401,HH,71347,Y
20160401,HH,71610,Y
20160401,HH,71752,Y
20160401,HH,72447,Y
20160401,HH,73136,Y
20160401,HH,73602,Y
20160401,HH,73738,N
20160401,HH,73750,N
20160401,HH,73801,Y
20160401,HH,74163,N
20160401,HH,74167,N
20160401,HH,74148,N
20160401,HH,74729,Y
20160401,HH,74731,Y
20160401,HH,74745,N
20160401,HH,74748,N
20160401,HH,74756,N
20160401,HH,74857,Y
20160401,HH,75808,Y
20160401,HH,76404,N
20160401,HH,76720,N
20160401,HH,76746,N
20160401,HH,76753,N
20160401,HH,77243,N
20160401,HH,78756,N
20160401,HH,78760,Y
20160401,HH,78745,N
20160401,HH,79705,N
20160401,HH,79748,N
20160401,HH,79764,Y
20160401,HH,79869,N
20160401,HH,95158,Y
20160401,HH,98144,Y
20160401,HH,99314,N
20160401,HH,99737,Y
20160401,HT,97336,Y
20160401,HT,79617,N
20160401,HT,78765,Y
20160401,HT,78629,Y
20160401,HT,78643,Y
20160401,HT,78666,N
20160401,HT,76610,Y
20160401,HT,77637,Y
20160401,HT,77648,N
20160401,HT,76140,N
20160401,HT,74605,Y
20160401,HT,75620,N
20160401,HT,75668,Y
20160401,HT,73632,N
20160401,HT,72559,N
20160401,HT,72641,N
20160401,HT,72303,Y
20160401,HT,72321,N
20160401,HT,71184,Y
20160401,HT,71207,Y
20160401,HT,70756,Y
20160401,HT,70142,Y
20160401,HT,70410,Y
20160401,HT,66606,N
20160401,HT,66628,Y
20160401,HT,66630,N
20160401,HT,66643,N
20160401,HT,66657,N
20160401,HT,66659,N
20160401,HT,66660,N
20160401,HT,66662,N
20160401,HT,66663,N
20160401,HT,65610,N
20160401,HT,65617,N
20160401,HT,65653,Y
20160401,HT,65665,N
20160401,HT,65696,N
20160401,HT,63704,N
20160401,HT,63722,N
20160401,HT,64610,N
20160401,HT,64646,Y
20160401,HT,64697,N
20160401,HT,64699,Y
20160401,HT,63634,Y
20160401,HT,63636,Y
20160401,HT,63638,N
20160401,HT,61743,Y
20160401,HT,62648,Y
20160401,HT,62668,Y
20160401,HT,61715,N
20160401,HT,62349,N
20160401,HT,61643,Y
20160401,HT,61652,N
20160401,HT,61666,N
20160401,HT,60605,N
20160401,HT,60634,N
