G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM
20170331HHOB0,20170331,HH,OB,0,금,잠실
20170331HTSS0,20170331,HT,SS,0,금,대구
20170331KTSK0,20170331,KT,SK,0,금,문학
20170331LGWO0,20170331,LG,WO,0,금,고척
20170331LTNC0,20170331,LT,NC,0,금,마산
20170401HHOB0,20170401,HH,OB,0,토,잠실
20170401HTSS0,20170401,HT,SS,0,토,대구
20170401KTSK0,20170401,KT,SK,0,토,문학
20170401LGWO0,20170401,LG,WO,0,토,고척
20170401LTNC0,20170401,LT,NC,0,토,마산
20170402HHOB0,20170402,HH,OB,0,일,잠실
20170402HTSS0,20170402,HT,SS,0,일,대구
20170402KTSK0,20170402,KT,SK,0,일,문학
20170402LGWO0,20170402,LG,WO,0,일,고척
20170402LTNC0,20170402,LT,NC,0,일,마산
20170404NCHH0,20170404,NC,HH,0,화,대전
20170404OBKT0,20170404,OB,KT,0,화,수원
20170404SKHT0,20170404,SK,HT,0,화,광주
20170404SSLG0,20170404,SS,LG,0,화,잠실
20170404WOLT0,20170404,WO,LT,0,화,사직
20170406NCHH0,20170406,NC,HH,0,목,대전
20170406OBKT0,20170406,OB,KT,0,목,수원
20170406SKHT0,20170406,SK,HT,0,목,광주
20170406SSLG0,20170406,SS,LG,0,목,잠실
20170406WOLT0,20170406,WO,LT,0,목,사직
20170407HHHT0,20170407,HH,HT,0,금,광주
20170407LGLT0,20170407,LG,LT,0,금,사직
20170407NCSK0,20170407,NC,SK,0,금,문학
20170407SSKT0,20170407,SS,KT,0,금,수원
20170407WOOB0,20170407,WO,OB,0,금,잠실
20170408HHHT0,20170408,HH,HT,0,토,광주
20170408LGLT0,20170408,LG,LT,0,토,사직
20170408NCSK0,20170408,NC,SK,0,토,문학
20170408SSKT0,20170408,SS,KT,0,토,수원
20170408WOOB0,20170408,WO,OB,0,토,잠실
20170409HHHT0,20170409,HH,HT,0,일,광주
20170409LGLT0,20170409,LG,LT,0,일,사직
20170409NCSK0,20170409,NC,SK,0,일,문학
20170409SSKT0,20170409,SS,KT,0,일,수원
20170409WOOB0,20170409,WO,OB,0,일,잠실
20170411HHSS0,20170411,HH,SS,0,화,대구
20170411HTOB0,20170411,HT,OB,0,화,잠실
20170411KTWO0,20170411,KT,WO,0,화,고척
20170411LGNC0,20170411,LG,NC,0,화,마산
20170411LTSK0,20170411,LT,SK,0,화,문학
20170412HHSS0,20170412,HH,SS,0,수,대구
20170412HTOB0,20170412,HT,OB,0,수,잠실
20170412KTWO0,20170412,KT,WO,0,수,고척
20170412LGNC0,20170412,LG,NC,0,수,마산
20170412LTSK0,20170412,LT,SK,0,수,문학
